Recency,Monetary,Frequency
326,77183.6,1
40,4310.0,182
76,1797.24,31
19,1757.55,73
311,334.4,17
73,2506.04,85
205,89.0,4
233,1079.4,58
96,459.4,13
23,2811.43,59
182,6207.67,131
3,1168.06,19
9,6372.58,248
53,2662.06,129
288,189.9,10
30,5226.23,266
36,552.0,23
41,1313.1,85
292,641.38,22
212,168.9,11
52,3545.69,167
30,1887.96,63
35,1298.04,52
342,364.6,14
26,742.9300000000001,33
11,457.5,17
316,1628.12,77
305,4008.62,219
82,852.24,40
22,2724.81,104
0,1845.31,87
9,1850.56,99
29,585.27,27
192,401.9,10
16,2780.66,100
80,549.84,32
22,460.89,100
39,1582.6000000000001,64
153,1272.48,27
5,3018.63,156
136,2409.9,126
46,1635.6599999999999,85
2,1108.65,59
99,84.3,5
324,225.6,11
50,427.7,5
149,1710.39,54
23,3415.3,105
50,1708.1200000000001,77
152,2888.55,105
65,11072.67,109
252,693.3299999999999,26
75,1226.88,61
192,758.1,38
188,562.41,18
25,124914.53,714
40,3649.1,192
113,668.58,34
153,600.39,29
16,807.04,45
169,803.5600000000001,39
89,1859.31,125
163,1760.96,30
79,777.2,36
195,582.73,30
22,825.8,31
26,7956.46,294
10,3750.4,97
44,256.4,11
2,6487.45,235
43,5059.32,108
10,13375.87,420
85,806.14,50
80,7829.89,36
335,509.01,16
9,4951.41,199
15,2906.85,98
485,173.55,11
181,172.06,12
0,5005.46,176
23,133.4,4
58,1002.3100000000001,57
67,476.49,26
45,449.45,22
23,4067.29,191
174,197.88,8
11,9035.52,354
17,430.57,22
135,707.09,43
57,3528.34,15
74,2466.86,90
45,3181.04,125
82,2363.23,62
72,947.4,38
125,826.88,35
19,1189.59,62
6,1344.78,83
11,1212.05,29
18,742.1899999999999,47
218,729.5400000000001,38
11,19824.05,460
52,6572.11,339
54,3938.5499999999997,168
3,7375.79,424
54,723.38,36
16,6816.42,233
23,13219.74,300
181,680.99,36
12,527.2,31
29,3281.63,154
23,5596.32,217
18,2484.98,75
101,4541.72,346
10,1298.66,55
162,334.93,15
18,5417.93,245
333,460.40000000000003,26
106,263.21000000000004,20
166,433.74,22
16,1246.1000000000001,77
82,1043.1,14
22,403.70000000000005,23
24,4257.82,61
162,2169.39,149
188,3723.87,147
19,482.04999999999995,9
233,73.5,23
135,1304.81,21
27,398.27,69
285,176.5,7
143,982.5699999999999,33
244,138.03,34
113,612.29,35
268,1017.68,51
354,383.7,16
4,1312.06,26
29,2502.84,284
0,2056.89,124
153,340.84,18
37,2634.26,152
143,599.68,38
40,192.72,12
9,1789.77,106
10,4485.72,144
54,1316.66,71
82,348.71000000000004,18
10,1933.48,92
30,1662.28,66
15,125.22,17
90,349.83000000000004,16
336,1089.18,63
92,716.35,34
30,12601.830000000002,261
60,363.95,21
23,5568.35,273
20,13400.24,478
60,981.18,52
274,372.7,19
76,1000.39,50
47,1161.5,69
198,207.79999999999998,8
167,95.19999999999999,5
80,964.83,57
358,168.0,10
40,437.82,20
0,3692.28,191
33,603.71,121
17,11990.960000000001,33
301,269.96,11
311,561.71,21
113,2134.01,105
69,238.85,16
23,3781.7400000000002,168
262,456.9,21
289,145.92,9
87,351.65,19
23,9401.28,446
0,4124.69,188
40,519.61,34
52,1020.42,60
228,160.54000000000002,28
316,218.45,11
130,1315.83,88
243,657.8,147
22,2794.51,114
79,440.42,29
159,415.7,24
40,197.71,15
239,511.36,22
0,7281.38,247
18,2338.15,96
235,2040.1,87
18,196.94000000000003,11
301,144.0,4
40,214.89999999999998,10
29,646.68,35
5,9864.26,68
318,452.84999999999997,26
66,437.6,18
109,418.09999999999997,21
47,3338.2200000000003,118
36,618.27,27
20,3811.22,206
10,3023.08,132
33,1032.58,62
29,2599.04,64
39,577.0600000000001,28
0,153.12,12
22,739.1999999999999,2
80,254.18,16
61,1579.51,101
79,1126.85,60
23,2099.54,106
53,1193.32,65
75,704.0400000000001,19
58,3344.38,153
160,315.6,20
72,2291.19,105
215,713.3,32
60,355.53,42
22,177.31,11
17,3641.24,90
15,1339.41,92
5,13689.67,467
233,180.1,11
129,305.1,18
107,641.13,38
5,2683.82,86
24,6620.48,294
11,4478.53,230
182,786.46,41
10,1270.88,64
58,640.5,31
0,2163.98,101
31,1689.18,101
92,6021.9,390
182,671.69,39
239,486.1,22
24,1174.58,53
116,185.9,10
26,1013.26,47
39,3344.64,24
305,477.91,31
110,1775.18,73
50,1346.97,45
23,3722.82,121
125,318.05,21
35,623.51,31
181,314.44,20
100,114.0,9
9,919.98,48
149,2209.85,43
11,601.98,38
18,4051.17,126
12,1643.18,47
19,686.05,36
60,91.68,5
12,245.1,13
24,3849.78,230
0,4881.88,37
325,63.0,3
0,620.13,33
12,3807.15,161
3,2744.0299999999997,101
11,2996.05,92
330,225.89999999999998,10
242,610.52,42
92,1970.6,83
25,1331.39,45
43,17628.46,165
0,1113.02,48
31,862.81,52
15,13787.54,638
2,12288.22,525
5,8476.57,344
25,2283.63,105
29,2863.08,157
638,89.14,7
114,4873.8099999999995,171
26,1247.61,72
206,389.01,16
0,1035.8,32
5,855.91,39
71,869.67,37
108,582.1,27
29,957.59,41
127,4939.99,268
36,797.71,53
20,219.0,12
72,283.55,21
23,2340.84,88
16,6868.29,334
292,603.42,33
60,2712.91,157
0,9736.52,208
202,1149.02,77
9,4396.13,133
89,848.55,38
10,4708.86,259
107,353.86,21
134,1053.49,69
33,1030.98,55
72,238.25,19
214,644.95,39
3,5781.73,354
80,2656.13,161
3,997.63,53
17,725.07,69
39,1031.41,53
638,427.8,24
29,2609.1,124
11,3980.7,139
39,836.33,46
114,453.01,26
24,18895.91,274
180,236.26000000000002,12
235,383.95,22
353,110.39999999999999,4
192,779.5699999999999,43
39,234.0,4
666,155.35,11
79,1013.04,38
153,427.6,27
135,546.43,134
52,21279.29,222
23,4196.01,103
5,33719.73,4595
23,4090.88,199
277,275.88,15
82,4366.78,53
23,21429.39,197
160,3010.74,63
251,3811.95,4
87,112.07999999999998,4
5,7857.1,371
117,2791.59,97
53,1531.44,95
26,1898.52,69
139,494.08,18
317,1693.88,45
58,6989.63,310
239,1143.6,32
211,1351.45,12
30,892.47,55
18,1386.04,66
20,822.23,50
199,3981.36,149
153,826.74,25
150,2330.92,103
54,2225.91,84
10,574.42,59
424,311.95,14
10,463.66,20
214,91.85,4
193,324.92,21
697,192.60000000000002,2
257,400.53999999999996,25
100,545.48,24
54,860.41,45
19,430.48,14
454,254.03,13
11,6977.04,8
187,427.58,25
126,483.65000000000003,28
178,489.31,25
261,514.85,31
45,229.64000000000001,15
102,125.92,2
148,1063.46,47
177,572.2,29
282,166.04,4
262,1542.08,14
45,942.34,59
96,92.72,6
71,948.88,46
75,1759.5,5
30,397.12,25
60,1474.72,91
45,430.15000000000003,25
113,1018.71,56
162,293.0,11
92,6814.64,38
263,215.05,9
152,383.03,27
146,417.38,24
310,312.38,18
30,2612.86,175
174,134.1,12
182,683.13,123
12,5591.42,314
65,2726.77,113
4,4022.35,420
71,1118.99,34
66,1702.26,103
60,325.96000000000004,52
268,354.09,27
23,871.54,91
121,1050.8899999999999,51
245,135.18,50
295,311.55,17
135,1957.1000000000001,78
6,1324.5,110
666,38.1,3
19,2179.93,314
69,1106.4,46
53,521.2,5
139,147.12,3
27,1568.23,95
341,559.12,26
27,4036.82,538
9,1607.0600000000002,107
85,380.64,11
327,599.97,66
310,374.0,4
144,343.2300000000001,2
58,2218.02,85
25,1535.77,154
237,854.99,47
45,573.22,10
98,298.0,7
10,1463.04,13
25,703.47,42
1,309.05,7
124,1175.22,71
249,1378.4,82
96,354.12,5
25,380.46999999999997,82
157,331.0,3
90,188.14,34
43,372.8,22
38,216.5,4
11,17654.54,116
265,138.68,10
19,509.58,72
12,2919.81,63
177,750.0,2
40,2178.67,91
6,3075.04,75
15,1662.3,24
16,2483.63,50
149,363.65,22
139,3006.15,107
277,594.0,2
3,1335.19,50
18,164.23,28
10,16587.09,720
337,405.38,28
183,176.97,29
1,933.7,30
75,694.05,45
6,2062.7000000000003,84
342,117.85,8
79,415.8,25
22,42055.96,82
25,607.53,106
27,2160.7,129
18,1063.9,62
16,1504.27,120
26,114.14,9
37,11581.8,47
55,913.54,99
132,683.9,75
243,604.51,30
289,462.95,23
65,1603.99,97
17,2064.95,116
90,4167.22,215
25,1843.0,23
174,1064.07,63
44,1387.79,79
10,329.85,17
17,4757.16,180
191,108.07,19
10,4017.54,238
114,266.39,16
11,1856.63,95
31,771.91,109
10,160.18,10
359,1660.9,19
113,135.95,5
301,452.24,151
9,11189.91,305
198,144.8,8
5,738.6,22
186,39.239999999999995,9
9,7374.900000000001,20
60,372.21999999999997,20
36,390.54,28
19,97.5,4
29,1239.38,76
74,558.7,28
293,535.32,92
1,6924.110000000001,64
121,409.5,13
24,503.76,31
24,414.76,27
32,974.4200000000001,61
86,211.32,3
1,1226.89,59
128,455.88,28
107,534.85,31
23,9818.82,339
319,120.94999999999999,7
33,149.05,6
12,5655.91,404
159,513.7,26
57,81.57,4
324,229.46999999999997,14
666,50.550000000000004,3
10,1661.8400000000001,89
22,4810.9400000000005,219
11,3466.2799999999997,109
54,3346.28,176
74,789.89,47
301,204.0,1
17,7277.7,458
26,2616.38,131
183,689.9,40
98,975.36,40
114,6912.0,26
23,661.3199999999999,45
90,1247.5,10
12,799.48,99
53,1010.18,71
358,190.55,11
55,642.77,37
74,921.88,27
139,881.07,48
81,908.46,28
182,676.99,43
37,516.42,13
292,560.47,33
335,305.28000000000003,18
90,629.31,35
57,3237.54,172
15,1835.91,136
183,656.6800000000001,14
15,5836.86,403
35,348.15000000000003,18
66,1214.41,76
0,271.40000000000003,8
250,183.4,8
254,307.53,15
73,248.61,10
338,346.98,11
1,1119.49,69
697,205.86,14
25,470.8,48
83,115.46000000000001,15
11,344.0,2
2,4436.12,425
193,228.8,9
267,177.15,7
305,919.61,22
120,729.27,112
0,12627.94,358
22,220.10000000000002,6
180,58.08,6
12,28337.38,1024
177,3613.63,73
76,303.75,18
217,416.08000000000004,22
6,58825.83,1818
20,8910.82,155
29,345.82,21
5,477.83,25
98,7832.47,159
22,1927.3200000000002,24
71,74.39999999999999,6
78,6010.42,423
10,28882.44,572
335,207.35999999999999,1
235,101.19,8
24,6424.09,304
40,243.94,8
47,1098.48,20
134,76.5,1
45,1531.6200000000001,58
666,350.06,10
30,786.54,47
54,1488.67,145
5,12245.960000000001,200
0,2294.78,120
139,501.14,30
22,984.91,76
20,1197.81,79
239,30.599999999999998,1
270,283.73,50
184,922.39,55
31,3866.33,235
45,2099.64,140
78,259.17,15
184,64.0,2
24,1073.3,44
262,77.3,3
37,109.8,7
86,1793.58,98
197,3096.0,1
35,2607.61,127
11,3650.41,704
23,962.39,63
17,5064.94,170
109,423.72,46
85,2388.75,135
20,307.09,23
39,110.95,3
40,618.52,6
27,228.91,17
11,712.8000000000001,4
60,3707.12,319
15,1676.06,86
296,1257.8700000000001,74
242,486.22,15
80,971.76,85
6,1741.22,87
2,1201.06,79
51,1437.85,121
23,91.8,4
314,112.75,8
93,1688.29,79
47,1021.48,42
341,417.2,41
19,791.33,65
200,1319.19,131
153,712.88,13
27,116.00999999999999,32
22,468.41,46
212,353.65,43
17,2817.03,314
47,492.84,72
183,282.45,17
27,5725.47,265
46,121.18,11
87,3957.78,94
15,1701.29,181
268,71.4,1
40,1575.89,79
192,236.02,37
12,114.60000000000001,2
19,260.68,29
206,911.94,63
91,117.88,29
136,60.7,3
12,1797.78,110
11,3401.2400000000002,226
11,9817.12,119
20,870.09,46
10,869.46,57
3,250.26000000000002,8
0,1223.9,149
90,5891.61,321
154,353.48,22
11,1197.42,56
20,788.08,142
57,1520.58,90
268,333.74,5
93,533.98,4
246,62.63999999999999,5
79,819.2900000000001,21
241,847.41,66
201,163.20000000000002,5
33,2155.95,108
61,6463.84,32
37,108.21000000000001,16
202,257.7,9
82,358.0,2
226,160.95,10
60,2806.97,611
4,1357.6,207
75,605.12,43
35,1031.07,58
25,744.85,36
18,700.73,31
262,329.56,21
174,663.65,67
66,270.40000000000003,13
204,600.07,58
123,121.74000000000001,27
51,430.5,16
19,1987.3,141
18,501.12,25
155,465.68,26
123,711.41,23
186,1030.4,36
10,399.51,13
12,698.58,38
91,292.32,87
91,557.62,8
269,944.1,9
264,200.29,11
5,7454.07,1677
1,2107.66,91
12,3834.2599999999998,187
9,4521.49,211
6,3214.69,440
1,5346.2300000000005,316
485,590.0,1
302,217.38,96
31,276.56,15
114,138.98,16
153,590.9300000000001,30
16,258.4,8
41,542.73,46
79,137.75,9
93,814.86,85
19,1132.14,37
30,93.66,7
331,201.19,13
24,2709.12,187
156,361.11,42
285,578.9399999999999,31
250,873.74,54
360,201.20000000000002,10
138,87.4,5
24,2089.85,59
120,360.0,2
269,142.5,5
170,371.89,20
104,618.09,81
156,63.75,1
352,300.42,21
22,2000.86,81
32,15.0,1
23,1385.51,54
1,1456.79,107
29,1132.03,72
3,598.57,26
23,1555.32,78
74,775.94,62
80,5977.7300000000005,87
199,2273.68,124
120,640.76,20
18,10845.550000000001,476
66,1548.7,106
73,567.36,11
18,199.48000000000002,25
22,787.85,21
31,7121.95,75
82,675.3,12
113,3627.77,108
317,1308.48,17
121,789.0,17
123,1140.93,53
15,350.9,21
83,3536.82,268
78,795.12,51
217,487.02,19
201,860.12,54
46,10736.48,134
261,775.85,42
178,353.43,19
160,2543.72,119
288,389.5,20
71,341.36,8
183,233.76,14
11,247.32,16
17,979.12,40
244,373.94,16
61,397.97999999999996,24
72,743.53,51
93,674.7,32
81,768.24,42
258,609.95,90
269,439.03,29
153,439.56,23
10,3090.7400000000002,166
18,992.5,60
72,134.95999999999998,10
182,2225.37,128
51,56.160000000000004,1
192,623.4,29
454,308.28000000000003,14
638,754.87,39
31,378.64,23
61,3312.25,158
1,778.65,37
204,1019.76,53
27,572.56,97
31,3639.31,172
251,222.99,15
46,4151.93,152
330,534.57,35
132,677.1,35
12,797.96,51
75,544.08,13
204,59.8,1
33,2520.02,155
157,307.72,21
60,1360.99,43
73,1544.13,38
193,457.34,26
246,621.23,39
18,75.0,3
35,252.49,11
75,572.451,27
3,28117.04,478
25,1003.06,28
108,213.55,18
134,1390.5,24
44,712.5,19
206,640.83,28
12,6127.43,304
153,221.06,16
150,159.85,8
41,1851.08,104
183,2626.3,127
109,1624.21,78
11,3641.32,157
20,582.6,29
11,218.47,74
11,1006.8,67
19,679.45,49
1,1269.1,46
75,534.24,10
25,3809.8900000000003,101
120,196.89,12
15,3408.06,167
256,283.71,54
92,296.64,13
24,1129.14,59
17,3539.37,195
24,291.88,19
27,2043.7199999999998,71
5,2976.15,443
260,590.0,2
166,356.97999999999996,17
25,1058.34,46
18,1766.72,63
6,9646.57,382
50,183.44,17
139,1445.0,27
340,151.5,9
0,674.68,41
126,307.9,17
11,1083.71,99
0,5704.97,302
116,165.0,10
22,2531.58,260
39,422.64,21
237,229.59,64
188,1431.78,86
179,1238.47,58
5,1454.58,79
201,300.95,15
46,1804.56,109
233,184.64,11
214,140.34,10
6,313.8,8
234,454.24,23
79,1122.41,69
58,575.4,34
9,8968.31,422
106,449.52,14
39,1215.82,86
96,1269.84,50
98,618.63,8
342,316.26000000000005,18
233,2044.8700000000001,48
11,653.33,35
310,348.05,19
18,1159.11,42
24,1166.77,65
289,1340.32,52
17,292.0,18
72,216.85,17
183,295.93,22
73,4393.63,215
317,458.52,26
108,2479.16,162
67,110.97,12
37,979.72,44
46,1791.56,115
261,251.21,15
216,205.1,10
74,152.20000000000002,4
73,891.12,59
22,1389.41,44
30,2128.42,141
86,659.4399999999999,38
79,122.75,8
0,3624.35,93
11,1093.65,436
90,125.80000000000001,5
47,3964.88,172
41,680.1800000000001,27
15,628.78,6
31,2287.51,223
79,307.76,15
206,483.8,22
182,210.31,66
65,270.79,76
54,5870.08,296
10,3448.29,179
32,1280.85,25
86,631.34,37
40,291.41,87
13,626.99,98
67,682.41,124
3,918.2,51
320,91.80000000000001,4
87,3740.07,109
74,4149.28,136
29,584.06,34
24,605.06,175
301,174.37,33
127,141.85999999999999,14
82,1799.33,82
85,777.53,49
145,1749.02,83
20,240.22,38
41,874.71,176
174,192.85,44
18,373.75,85
67,239.49,27
13,2092.32,341
206,1384.25,33
51,294.4,26
0,732.0699999999999,46
11,6717.34,126
6,1687.6000000000001,83
15,467.04,23
283,118.0,10
156,781.03,53
191,142.4,24
153,712.4,8
16,2478.95,174
15,379.65,21
3,1981.92,87
183,1117.13,58
66,247.95999999999998,16
109,2037.0800000000002,128
53,396.97,26
13,697.04,166
48,180.17000000000002,40
6,5153.67,247
313,219.52,19
5,693.32,99
183,428.89,23
27,164.34,27
60,280.53999999999996,43
41,678.01,98
13,1131.88,226
31,1171.8,74
25,1610.46,201
319,417.69,23
4,544.18,44
174,177.34,13
117,213.85,19
90,747.78,81
340,257.23,19
30,1638.47,92
24,7792.36,59
76,2031.78,71
144,3070.42,11
25,2121.27,146
36,1575.16,188
275,1071.03,62
93,949.12,63
53,810.5,101
16,122.64,8
75,1033.34,40
127,354.8,66
121,519.44,28
17,2624.26,146
32,252.1,5
10,1678.1200000000001,79
257,346.6,23
1,1836.34,96
40,94.2,6
46,1095.08,63
36,2707.33,166
6,932.97,56
165,379.65,49
11,382.14,16
10,2639.17,108
206,1573.2,104
35,897.76,53
180,189.47,13
61,84.65,12
150,305.02,87
11,6363.59,470
51,218.55,9
76,349.7,25
38,186.39000000000001,6
19,396.92,65
33,486.82000000000005,25
33,232.6,16
40,3722.42,195
18,827.83,57
218,59.5,3
286,67.23,30
46,3119.44,39
65,72.0,8
153,910.0,6
30,172.25,9
25,1488.32,53
26,65039.62,568
2,2504.13,90
333,151.29999999999998,12
156,308.58000000000004,14
6,2265.12,197
319,99.5,1
0,2308.06,134
145,711.86,28
69,330.79,20
268,806.41,48
272,296.88,51
50,6328.05,336
121,180.48,8
219,252.06,13
159,228.84,10
223,1079.34,105
270,138.28,21
57,1445.01,102
159,306.55,12
16,1041.68,60
117,799.9,43
274,524.14,28
132,2375.41,85
188,199.85000000000002,6
50,1980.56,104
101,1079.6599999999999,42
29,333.48,20
108,1016.14,63
136,752.6,43
159,610.59,38
29,491.86,33
25,2885.2400000000002,196
242,731.9,191
201,339.59999999999997,30
19,216.9,3
241,350.75,23
72,668.4300000000001,34
17,3131.02,321
1,1341.6,41
215,1156.36,72
163,300.04,25
697,79.6,1
159,948.25,28
54,1647.26,24
289,296.25,9
96,1186.28,76
288,741.26,35
33,282.59999999999997,12
10,2161.35,342
23,5189.52,142
12,3190.55,117
72,659.4100000000001,25
55,286.79,57
51,1070.65,70
219,306.72,7
153,1714.96,15
71,1521.76,208
26,17220.36,368
93,2796.51,135
183,2634.45,119
182,1132.13,177
82,345.0,22
25,25977.16,197
104,178.7,9
171,360.01,57
281,127.84,17
13,912.0,115
10,2462.79,31
516,230.39999999999998,7
76,309.04,31
212,348.8,45
169,1516.0,11
244,195.55,13
1,37153.85,349
117,688.86,39
283,558.32,33
244,324.8,23
139,4599.42,60
256,277.07,17
79,2635.79,137
53,924.6,13
153,256.38,10
516,112.6,7
47,1747.66,76
161,155.05,12
29,1499.01,35
95,814.5,13
43,539.0,36
31,1366.8600000000001,69
123,1579.12,57
23,4027.36,176
24,571.6700000000001,28
60,382.98,24
38,1140.35,36
145,385.64,59
41,632.0,96
19,957.66,40
6,1698.94,46
177,189.5,10
58,412.05,93
23,209.49,15
17,2202.99,74
20,52.199999999999996,3
278,384.8,29
26,834.57,55
5,271.24,19
118,691.73,174
340,85.0,1
0,3385.62,206
12,361.62,20
183,312.98,9
25,865.0600000000001,55
123,1255.0,5
52,1537.95,101
305,1595.48,93
215,2651.46,81
58,1090.14,23
1,8109.5199999999995,110
95,388.5,14
58,216.17,11
327,201.16,28
15,1245.9,76
19,2209.36,139
189,305.78,20
0,501.56,30
75,145.67000000000002,7
75,1015.29,61
301,3192.54,33
124,3104.95,307
41,2770.94,115
23,6403.25,336
2,389.6,23
359,540.45,18
38,1786.79,104
153,122.7,7
87,117.24,3
55,1281.53,36
22,3219.77,165
12,17159.52,178
12,1191.13,65
11,2674.48,142
31,787.6,59
201,506.8,28
72,243.56,16
205,349.55,19
2,605.63,40
123,416.90000000000003,15
23,1883.8100000000002,110
27,632.97,27
298,821.1,21
24,564.62,27
29,2593.07,118
51,311.16,17
326,155.93,12
17,388.52,19
95,740.95,43
73,2867.2,149
295,332.64,26
80,2369.55,122
58,2580.91,148
12,626.45,33
50,272.04,18
50,1212.8400000000001,30
30,384.81,28
352,172.25,7
54,351.13,20
18,1838.8500000000001,117
63,678.25,41
24,223.85000000000002,11
75,348.99,21
11,464.57,27
170,842.65,9
58,337.34,17
215,1237.53,58
295,307.4,16
110,608.7900000000001,23
264,922.1,31
180,376.58,26
170,158.85,9
243,71.66,7
24,568.55,45
18,839.14,49
22,5112.96,45
80,561.5699999999999,11
214,90.6,5
361,102.0,3
25,2427.32,160
12,745.06,35
177,674.45,39
188,3251.071,137
53,3515.68,20
71,439.92,25
125,322.96,33
55,1026.42,152
80,598.2,92
22,230.22,12
22,169.55,11
252,664.54,35
146,80.7,2
17,9053.94,626
19,2758.26,149
71,190.25,15
288,264.7,11
50,413.59000000000003,28
121,2526.28,338
207,357.98,10
15,196.79000000000002,15
74,869.87,54
61,200.14,11
40,1871.81,111
0,2603.43,107
27,920.51,16
0,7060.13,349
18,320.46,13
20,4147.96,234
214,1266.08,41
66,311.3,16
13,855.97,84
90,76.8,5
31,3466.36,121
40,2313.14,155
16,1393.69,86
11,3901.81,208
5,635.66,15
46,2043.0800000000002,39
135,529.73,47
44,4582.64,171
10,2874.72,84
6,962.19,30
199,695.61,42
160,328.8,11
98,473.02,34
78,505.18,39
53,917.34,20
208,4341.21,161
47,1421.61,66
1,642.8,39
5,631.9,22
226,440.0,28
281,584.07,31
63,327.7,16
61,104.82,6
145,467.66,15
19,2360.09,243
22,17286.86,250
6,2975.59,143
23,651.8199999999999,89
29,1428.02,66
285,626.65,38
177,147.20000000000002,28
79,1560.38,92
182,152.2,6
9,3614.92,235
267,141.41,21
27,652.82,209
110,1659.75,6
285,154.99,14
74,1308.6100000000001,32
161,409.93,85
17,5681.72,488
107,746.36,54
18,15610.390000000001,210
20,225.36,56
155,260.25,4
214,92.46,6
107,725.6400000000001,10
16,8214.65,1106
24,6217.96,284
267,183.6,8
23,6140.42,202
10,10464.85,111
5,1353.74,80
267,152.55,7
153,374.7,52
321,265.85,24
20,1438.82,324
152,151.04,13
20,942.26,43
305,122.47,46
41,499.41999999999996,42
66,1049.37,65
155,375.1,12
152,45.599999999999994,4
69,934.52,153
424,182.25,29
37,1018.43,181
10,4448.54,450
151,194.42,69
11,50491.81,589
57,161.0,14
325,76.32000000000001,1
24,4076.91,214
13,442.85,105
12,65164.79,5111
274,147.35,21
17,3104.17,250
138,194.9,26
74,5976.79,35
12,1360.28,79
125,216.20999999999998,21
240,1266.23,74
52,2703.23,123
90,597.91,34
73,144.2,9
1,5683.15,155
6,692.85,10
23,2915.15,160
23,1840.42,34
37,386.53,15
20,1382.74,72
144,90.0,3
11,2780.15,159
85,419.58000000000004,5
11,2740.43,167
11,706.1300000000001,15
93,709.71,44
61,637.5,46
18,1123.8600000000001,52
320,483.86,67
3,3586.0299999999997,200
305,605.64,28
39,4690.31,134
120,982.3800000000001,47
47,415.82,26
121,935.05,66
30,915.13,40
697,311.81,22
134,115.8,7
47,3742.2,11
82,4191.0,210
79,483.4,5
234,157.2,3
280,446.62,28
243,658.64,26
76,621.29,49
240,1345.62,52
267,118.75,6
0,117379.63,1400
20,432.88,48
41,507.66,41
20,4693.01,1204
127,1110.52,108
174,289.36,25
64,2445.91,52
71,1631.77,29
98,122.53999999999999,25
9,574.84,52
304,363.79,58
11,450.84,29
182,134.46,26
30,3222.3,149
298,576.9000000000001,31
87,559.41,42
29,1620.93,327
41,719.78,165
11,4748.52,240
244,452.89,24
9,197.65,3
72,2054.36,65
17,4654.08,265
11,4684.76,259
270,853.39,42
19,11349.52,579
202,1012.0,7
107,335.52,6
19,701.4,39
219,185.39999999999998,2
61,747.44,37
151,161.03,44
17,466.7,24
240,328.15999999999997,20
184,151.74,10
11,2073.43,87
106,1905.8400000000001,102
54,2241.1,112
31,1070.48,9
51,1004.38,67
12,1789.72,108
17,1839.3,59
12,2004.98,100
43,169.48000000000002,12
212,89.94,7
189,632.4,21
43,3432.8,193
178,683.17,41
123,991.13,60
111,1050.12,118
29,2232.19,67
27,3350.96,175
52,1547.2,40
95,925.71,50
43,2048.07,115
5,1462.72,35
23,775.46,159
76,3144.86,79
81,490.86,15
697,161.0,9
327,146.85,8
44,2380.85,112
90,890.34,42
95,213.70000000000002,10
235,280.55,16
128,2588.77,141
249,1693.45,108
111,1474.06,75
190,136.76999999999998,20
319,302.58,8
31,1904.05,111
11,2879.7000000000003,78
261,969.0600000000001,53
124,3099.7200000000003,106
10,12669.98,111
142,120.0,5
51,1163.45,52
18,2618.23,143
125,333.97,17
110,530.18,31
163,1516.24,55
9,492.65000000000003,29
226,112.32,10
74,437.96,33
36,559.97,29
4,1119.74,64
16,4216.2,225
197,134.04,8
20,3729.34,156
87,595.25,32
22,1910.01,27
24,4628.75,280
199,176.63,9
66,426.6,16
6,911.26,47
12,2314.65,101
32,3883.25,237
1,4871.93,100
148,1046.56,61
41,166.20000000000002,5
18,1305.33,62
53,51527.3,1637
