Recency,Monetary,Frequency
0,3965.62,143
19,43.2,3
118,640.14,13
339,383.45,17
72,1858.96,105
52,2093.32,33
1,2995.72,180
29,2352.53,117
36,310.26,20
37,1611.59,87
107,120.0,8
45,2481.13,101
183,508.58000000000004,24
39,477.79,31
11,1530.75,123
115,605.0600000000001,36
36,183.85,8
164,311.65,12
18,5014.84,259
136,462.65999999999997,28
23,866.31,26
275,415.2,15
17,2552.21,162
17,468.26,63
17,1614.91,90
197,588.22,31
36,309.52,14
219,134.7,6
46,2182.28,129
22,668.5600000000001,21
98,889.9300000000001,71
333,108.97999999999999,6
32,1021.58,60
261,409.57,18
11,133.5,31
68,282.93,18
165,51.0,1
37,1078.96,47
127,90.6,6
90,163.62,9
454,174.4,11
80,701.23,33
44,225.77,41
20,912.18,55
121,2128.23,118
23,161.2,41
5,3717.35,69
22,9261.52,524
320,155.0,8
296,100.5,4
359,76.55,4
157,257.68,75
263,617.05,11
45,348.1,46
53,202.68,56
27,626.0699999999999,131
164,1247.69,59
10,202.11,14
297,142.4,7
75,1770.56,140
11,3212.84,186
214,1043.46,45
5,4652.82,286
219,67.95,5
61,3507.71,350
214,487.99,73
4,2612.96,87
150,574.7,25
65,4051.48,182
142,1475.81,20
109,1474.32,103
2,156.75,8
108,2157.73,73
11,2606.53,107
72,2059.4500000000003,54
123,1105.07,193
311,1063.0,14
43,770.03,43
363,122.7,23
92,1496.98,97
20,5900.28,590
23,490.22,14
26,1937.25,124
11,1058.06,206
335,387.52,29
5,813.11,27
18,4263.64,222
219,265.2,3
18,322.08,1
24,4481.67,224
51,363.34000000000003,17
80,1244.83,144
69,470.36,17
10,2255.51,382
22,1372.8,12
304,89.06,9
454,63.0,5
191,131.9,9
320,2661.24,32
43,2357.6800000000003,55
44,1712.89,51
205,1589.82,63
54,1420.2,93
29,1039.58,293
19,1163.23,70
10,375.35,20
19,907.1,258
4,483.25,40
61,662.59,109
11,264.44,62
307,119.93,22
23,3062.4,970
311,113.64,4
156,1837.92,37
111,434.34,16
149,2103.06,180
32,2004.02,240
171,529.62,6
69,1058.6200000000001,130
60,2272.4,72
18,598.76,90
12,461.19,43
64,1936.84,281
75,234.34000000000003,7
47,547.66,29
72,925.85,42
258,215.7,19
20,1309.6,10
254,316.25,18
12,279.05,13
165,636.51,30
19,2068.15,144
282,137.1,9
51,321.92,14
333,165.75,47
27,1196.33,144
275,1064.28,46
208,463.38,30
176,340.93,17
17,2383.2400000000002,120
26,139.56,7
51,123.8,6
342,538.8100000000001,19
283,475.37,29
43,1957.32,193
27,815.32,194
1,356.85,7
95,251.21,10
20,2470.67,624
11,3543.26,164
48,673.26,107
18,5905.64,799
18,2012.17,316
24,1383.18,96
23,276.42,57
12,1314.81,68
218,275.28,23
101,455.59000000000003,12
9,1055.35,73
18,2102.09,101
142,330.45,18
183,174.37,16
120,270.6,4
25,974.54,17
109,241.09,12
72,1867.68,203
20,4332.2,291
1,8508.82,972
302,364.21999999999997,18
61,620.04,229
26,2925.91,216
237,932.85,64
25,1949.72,62
2,4447.05,519
61,2864.19,330
260,171.8,19
58,355.56,10
183,388.25,19
16,537.48,32
10,996.26,76
0,1461.65,111
157,103.25,5
29,3630.33,72
25,2024.45,114
41,2578.09,399
13,4007.54,366
3,652.8,4
342,289.24,56
11,765.62,48
19,186.23,10
33,165.07,58
20,859.27,113
11,2381.04,216
58,324.14,21
86,788.38,16
17,2237.77,74
76,1080.76,69
12,5074.77,423
114,3099.12,127
111,1432.0,4
57,1530.3600000000001,33
120,227.39,12
251,218.06,29
41,2832.84,270
35,1653.42,235
666,35.400000000000006,1
13,859.71,123
181,168.63,24
17,138.6,17
41,114.11,6
145,1052.55,330
95,1042.26,100
51,157.05,29
129,237.36,19
9,1601.14,383
638,39.75,3
16,1447.14,197
57,570.46,164
22,617.99,152
301,379.83,53
20,1740.6,102
12,883.15,55
45,221.97,50
161,393.33000000000004,25
11,213.96,7
68,660.0,2
5,12156.65,2700
16,16569.5,86
60,1785.15,20
73,601.56,4
36,406.08000000000004,3
10,553.44,16
128,394.44,20
206,412.78000000000003,26
90,1788.3600000000001,92
126,320.58000000000004,21
44,889.25,134
30,225.85,13
197,899.63,53
24,2791.27,122
36,671.96,24
48,959.01,152
51,1006.98,41
263,114.56,8
267,344.90000000000003,20
269,609.85,28
51,443.6,16
32,2984.49,172
25,2125.08,106
22,110.46,7
0,96.12,2
171,693.8100000000001,31
275,830.76,26
98,597.09,30
2,280206.02,2076
202,243.22,30
35,1417.29,199
5,654.6,102
78,114.18,29
10,1947.55,237
23,1932.23,49
170,291.05,80
18,848.22,126
118,247.15,29
79,2529.93,253
87,285.74,30
27,107.95,4
29,771.17,168
20,637.89,99
31,1835.7,90
25,195.25,14
11,9241.2,573
6,1269.99,170
251,411.53,132
162,765.55,61
10,1736.4,74
17,604.75,102
79,2548.2400000000002,42
26,28754.11,258
5,498.95,7
202,52.0,2
26,1236.28,421
107,628.38,15
3,5630.87,327
209,112.8,13
33,371.7,50
35,2114.33,71
138,591.55,68
265,172.9,8
2,2078.95,130
219,188.60999999999999,22
16,1250.76,210
96,109.13000000000001,8
152,2235.3,115
11,2549.37,335
19,3292.14,347
15,318.17,22
4,1546.91,415
199,179.0,1
125,1126.37,28
16,4921.04,196
15,606.13,139
11,2868.8,357
60,917.07,25
10,2666.36,339
25,160.19,10
9,867.38,71
44,329.68,55
11,1602.13,237
31,663.81,37
148,187.92000000000002,29
11,1158.3,278
25,718.08,52
68,268.58,10
697,313.49,71
108,2005.06,501
35,380.02,45
1,2702.4900000000002,147
17,9585.91,202
12,6065.69,194
181,1164.55,17
5,1314.45,54
20,3902.28,60
198,1448.21,89
12,1400.34,59
17,1099.98,26
113,1220.26,69
250,328.2,18
35,1415.75,89
44,389.64,5
88,563.15,30
45,638.05,41
10,5010.28,235
16,738.96,38
76,420.5,19
145,1484.06,71
113,1625.97,102
298,89.2,5
0,255.9,11
264,300.52,21
47,278.3,6
60,254.11,39
66,2473.37,135
18,192.60000000000002,5
83,10674.75,1090
233,876.42,52
113,139.26,9
0,1011.9,60
52,2538.3,117
246,730.86,35
251,386.15,41
55,447.68,27
320,200.10000000000002,6
27,289.99,15
11,77.4,3
27,679.4399999999999,30
29,197.64,6
2,745.06,46
153,6.2,2
22,228.99,14
10,1319.91,80
167,131.45000000000002,6
23,8022.49,1141
53,173.74,12
52,157.7,13
30,4339.74,385
91,193.14,59
98,845.55,44
332,353.27,12
16,554.65,47
76,193.39000000000001,11
40,2741.17,235
41,2087.88,255
577,155.43,30
274,778.5,53
198,271.85,4
160,1110.34,63
74,657.8,48
183,272.07,13
22,507.29,29
485,48.800000000000004,2
4,321.43,70
11,1127.71,29
16,2226.91,121
162,2139.76,17
60,697.55,42
54,197.13,40
0,1720.3,67
11,102.44999999999999,6
31,1649.5,108
268,62.85,4
30,3295.76,138
44,2824.69,145
6,3189.81,130
149,309.4,13
2,7930.54,388
342,325.75,21
24,511.35,28
0,2836.69,143
5,475.8,9
68,2759.83,127
2,645.65,20
57,1311.3799999999999,66
30,1173.12,60
13,1353.74,58
20,170.32,11
53,125.79,6
26,841.1999999999999,48
60,266.76,11
301,52.2,4
11,14389.9,99
157,710.28,36
22,2953.59,144
104,725.7,71
262,327.25,13
179,522.38,98
211,519.68,28
108,1465.3200000000002,47
4,1485.54,124
78,706.19,47
20,255.4,17
27,589.7,11
5,761.59,53
132,765.3199999999999,15
340,364.8,18
80,1862.0,6
208,369.2,20
162,135.9,10
254,125.65,7
149,554.38,33
10,1237.8500000000001,73
86,655.75,23
41,11138.710000000001,498
205,468.77000000000004,43
1,1366.38,55
24,1303.52,116
1,1421.29,96
26,332.66,20
22,2810.63,355
26,1025.44,69
217,616.15,17
29,3501.1,165
75,277.8,9
26,434.35,30
0,143825.06,5675
17,867.85,27
37,1227.43,87
92,307.48,12
71,1268.98,77
116,1610.15,45
35,977.77,57
90,1316.07,78
51,749.1,44
128,310.05,10
152,223.88,11
68,2372.86,128
23,1257.68,41
454,363.53,17
82,1890.94,87
298,1784.71,10
98,8137.02,364
57,1621.88,34
60,5900.25,170
15,100.9,3
73,290.82,14
24,1101.97,63
20,371.2,19
80,311.69,20
1,8099.49,138
26,289.82,55
13,336.17,85
254,58.49,12
128,499.68,42
110,695.42,59
172,221.27,27
11,7044.68,312
271,126.7,5
10,1487.8,198
189,206.21,13
245,599.0,83
15,191.32,38
50,463.8,6
90,147.59,37
138,1592.06,34
44,1116.57,160
277,114.77,18
108,1314.45,32
302,114.39,21
58,279.94,11
58,790.86,72
73,1931.42,216
159,102.12,8
4,213.27,41
199,296.75,87
16,326.4,4
5,334.54,40
251,233.23000000000002,61
1,546.1999999999999,26
6,429.87,75
48,490.52,77
116,1641.76,115
148,1246.32,158
16,6316.57,1119
52,502.09,144
278,156.91,12
13,1261.78,182
243,308.94,20
54,423.04,128
44,260.17,35
173,170.04,20
182,125.58,20
333,496.21000000000004,31
267,266.0,70
27,1914.82,472
12,905.04,135
40,6802.76,562
10,1661.33,155
182,377.01,72
81,469.0,61
90,1066.1499999999999,35
43,627.13,48
72,518.28,7
90,668.14,111
257,4959.1,52
26,2586.67,510
16,4308.61,394
31,252.73000000000002,27
73,465.55,127
0,705.49,130
10,19914.44,1502
171,180.35,67
200,135.93,5
121,537.0,3
6,7700.2300000000005,453
33,735.66,12
10,5213.7699999999995,206
270,343.62,22
117,384.05,97
37,121.17000000000002,3
26,1782.09,78
3,1391.61,143
320,215.78,30
186,697.79,71
13,302.1,114
98,1489.5,25
26,2124.9900000000002,276
41,1337.72,237
10,303.09,121
5,54534.14,403
72,987.86,57
66,370.79999999999995,5
165,3158.13,155
54,893.59,42
79,1744.76,82
47,553.36,104
180,1109.53,70
666,106.2,1
98,982.07,26
10,1043.41,54
106,748.87,42
78,773.03,27
173,880.85,49
12,9743.11,440
35,895.61,47
23,504.8,33
257,88.2,5
282,306.94,15
22,1160.07,57
11,2420.84,145
252,381.32,23
275,480.71,30
127,457.81,26
19,4597.02,108
104,1370.6,47
43,219.39000000000001,11
212,248.08,25
65,39916.5,3
85,410.48,23
70,876.0,3
332,317.53,8
87,703.36,35
197,1027.44,69
19,2298.93,101
5,1422.52,100
39,319.5,16
142,1300.25,60
128,484.95,28
24,996.1,35
60,1567.48,84
10,3609.33,100
38,2760.56,197
19,340.11,21
18,1352.75,45
15,1551.78,79
135,244.8,1
128,266.4,14
134,358.82,21
51,457.72,28
115,1633.78,82
207,2199.31,106
23,184.19,15
26,11528.48,127
214,406.53,16
61,1471.0,102
51,3447.4,84
170,330.11,22
19,977.9300000000001,52
38,982.42,29
15,1387.99,73
240,139.05,9
23,1286.7,68
162,178.96,13
53,2354.25,80
47,498.74,26
226,259.45,14
0,6580.44,217
44,1194.73,67
165,1327.16,91
241,623.5,28
11,301.29,20
134,520.8000000000001,23
18,5314.47,343
10,4745.69,271
121,329.25,22
76,296.42,85
120,961.49,55
125,1936.07,125
46,401.40000000000003,7
19,18641.010000000002,710
358,158.16,4
19,304.47,29
209,843.05,103
697,487.75,27
321,163.0,41
26,106.56,5
9,1289.5,5
71,1624.05,110
323,135.75,11
72,224.14,23
261,40.5,3
19,2206.95,93
516,87.5,6
176,689.4799999999999,16
125,622.85,29
60,406.76,63
71,310.62,21
15,411.41,19
16,4777.18,91
6,16225.39,212
2,1044.32,51
61,499.32,19
79,7616.53,310
151,3861.0,1
11,1079.6100000000001,32
123,193.64,10
30,1268.7,13
88,1236.54,69
26,1827.8,142
358,316.58,9
86,653.24,37
11,420.29999999999995,9
120,870.12,42
226,331.18,20
61,894.4100000000001,52
6,101.8,5
319,328.35,24
11,1661.44,110
47,734.94,35
88,96.6,2
11,5756.89,166
177,305.75,9
52,1778.96,117
485,403.25,5
319,585.0,5
226,755.75,20
359,322.08,14
235,409.40000000000003,23
311,154.41,8
127,1219.4,58
170,3386.71,125
240,429.6,23
114,612.06,31
129,197.0,14
159,2247.51,143
299,321.05,15
79,1412.32,99
60,1071.99,50
11,780.59,49
6,1706.57,78
74,1756.44,110
75,316.68,22
214,631.57,34
135,2515.84,89
239,514.15,33
93,356.0,6
2,6688.46,350
3,10484.99,111
95,740.78,44
1,918.1999999999999,53
246,300.36,18
244,890.85,47
149,98.45,6
341,317.15,7
169,623.16,34
101,1810.77,77
136,254.82,19
324,178.95000000000002,10
107,156.51,12
183,393.74,23
33,1506.1200000000001,82
223,119.3,6
0,1717.36,11
24,408.8,2
16,2379.49,41
4,2507.07,274
58,721.94,63
19,716.57,47
302,615.14,41
244,135.31,52
47,255.89999999999998,12
355,290.51,19
173,113.12,16
0,2332.15,139
50,240.55,3
23,486.69,20
44,2306.52,88
60,939.78,58
43,7943.22,204
4,4668.3,103
202,180.94,25
35,3672.86,194
11,641.94,39
11,4799.9,192
165,4507.01,7
183,496.44,28
51,5070.35,243
291,574.02,31
61,694.4000000000001,23
123,1174.35,58
215,205.3,12
68,310.47,19
0,60767.9,2379
76,924.85,47
111,52.0,1
200,327.97,24
117,570.5,37
327,165.0,1
181,312.62,33
341,204.5,16
45,267.13,36
71,2748.31,95
86,679.68,42
104,162.29,49
70,311.71,29
53,208.75,10
40,1049.7,57
61,714.96,13
485,1661.06,35
209,1028.56,16
164,351.67,99
54,173.97,36
244,574.07,86
81,2020.52,17
305,406.09,24
88,364.5,21
75,563.94,26
46,393.54,20
39,252.42000000000002,17
485,201.60000000000002,5
73,158.04,9
218,473.81,72
697,115.65,5
13,1960.1100000000001,225
255,777.02,63
54,277.05,14
72,2766.5,519
1,8347.2,551
40,427.93,13
362,418.92,7
666,326.0,16
215,913.19,29
26,2314.32,114
76,602.51,44
58,1877.59,95
22,446.94000000000005,4
30,2386.05,94
138,2007.3999999999999,27
19,2415.91,132
277,168.0,3
41,1233.3600000000001,117
98,3703.29,194
47,1690.2600000000002,36
66,596.85,8
15,5955.71,302
170,642.41,41
41,316.88,12
187,394.14,31
271,140.54,10
173,500.0,1
1,1535.53,84
17,231.86,12
10,2183.54,85
326,107.45,7
113,288.18,14
290,94.0,6
17,1345.53,73
23,815.77,50
114,716.2,12
149,626.77,42
279,349.1,8
38,510.71000000000004,53
95,1056.44,153
265,267.18,34
85,3450.84,122
27,1358.88,99
172,190.53,10
10,774.9000000000001,39
314,572.8100000000001,48
156,3984.32,192
86,508.8,28
25,135.86,8
0,950.36,53
324,97.7,6
333,43.5,2
255,383.34,17
20,1447.39,292
48,1483.14,306
16,93.78,6
27,397.35,82
24,171.19,10
66,533.3,41
108,1041.48,55
23,149.29,29
13,1122.53,329
263,200.16,45
132,156.57999999999998,25
55,383.68,62
220,594.0,2
13,3236.91,382
10,1418.26,219
265,113.5,5
331,155.17,9
313,494.64,28
27,974.52,60
90,429.84,30
60,538.73,58
57,1388.37,286
363,179.1,25
341,447.22,60
263,237.07,58
26,161.64,7
355,216.76,58
144,234.6,11
60,126.14,7
223,1048.85,157
4,7354.62,97
86,334.53,57
10,524.88,52
52,467.51,24
32,538.55,24
151,469.48,77
114,371.56,76
0,1771.2,11
78,454.10999999999996,29
41,1441.42,46
117,905.5,45
16,11054.96,98
267,233.81,88
19,3594.31,188
90,2575.0,86
123,91.32000000000001,2
5,1134.28,50
101,3100.09,154
29,659.4599999999999,35
150,2001.8,297
22,1299.23,125
18,1262.2,15
5,13316.4,512
19,1131.56,68
16,10384.93,213
363,147.09,70
82,52.83,13
53,3610.96,97
23,979.26,164
172,492.36,46
226,1000.27,92
331,250.0,1
12,909.23,160
156,121.0,7
5,14758.220000000001,308
13,4139.46,178
45,62.43,15
234,267.03,27
39,1942.45,214
120,343.5,18
35,3000.2,185
88,398.84,57
85,412.01000000000005,10
25,440.0,1
18,825.92,178
182,148.44,4
19,2429.78,163
255,229.33,26
23,3995.23,672
22,1502.35,108
90,2007.44,228
26,1580.93,256
20,807.57,83
174,536.4,75
164,110.92,24
301,538.46,41
12,213.3,15
115,85.13000000000001,29
289,127.86,28
2,3546.71,259
55,292.71999999999997,81
31,4954.84,702
78,1693.26,115
38,575.63,61
274,436.06,29
188,90.12,17
61,437.23,56
160,217.2,14
0,4805.17,899
25,279.77,31
29,473.65000000000003,20
12,800.59,27
352,134.55,1
23,1400.44,113
51,173.16,8
19,186.01,7
45,758.29,53
39,1375.71,31
11,4165.52,323
12,650.4300000000001,57
26,2552.86,215
86,607.45,104
178,702.25,168
302,940.6700000000001,45
33,258.88,39
163,127.1,13
303,348.6,51
32,3679.9700000000003,149
25,682.9100000000001,44
24,725.11,123
177,455.3,31
31,913.6800000000001,9
256,478.53000000000003,29
47,388.58,24
71,199.8,5
16,1771.78,103
96,1406.59,77
243,324.57,22
54,240.68,14
27,761.74,52
12,6776.56,410
23,1297.8700000000001,46
79,48.480000000000004,2
53,216.39,17
31,1198.23,67
2,2920.16,77
162,104.76,13
29,1093.68,60
126,298.48,16
52,112.46000000000001,6
10,1591.45,43
91,195.15,6
11,10399.74,423
123,776.851,45
11,336.40000000000003,3
57,1553.18,100
12,1293.03,16
44,3709.56,185
142,301.03,19
117,588.13,34
104,1534.26,64
75,675.8,49
25,2870.2400000000002,155
46,1186.35,60
16,3285.31,167
18,243.55,15
31,724.76,25
53,223.36,15
135,425.32,25
17,12515.66,484
106,1887.2,119
310,664.0,33
167,813.0,238
19,612.01,52
159,447.64000000000004,35
205,657.35,25
162,816.0,2
261,646.3,32
92,337.74,21
116,877.4399999999999,6
10,922.53,21
67,560.67,34
46,748.5,47
23,30.0,1
198,1024.1000000000001,48
44,306.45,11
26,1600.86,90
223,309.8,5
107,138.14,9
51,386.43,17
67,2242.01,116
40,301.32,13
188,76.32000000000001,1
41,684.34,33
297,173.05,12
19,2657.13,78
1,2881.02,155
66,2446.6,114
82,323.69,21
19,3435.76,202
50,657.23,33
53,352.7,12
25,781.28,110
10,1333.68,78
26,1426.16,53
118,193.75,10
24,2993.1,166
2,254.1,9
101,239.76,19
340,136.8,2
29,191.04,12
26,6479.4,78
267,409.98,22
80,2736.46,171
18,309.65,18
173,696.68,86
74,1542.14,237
265,211.5,5
127,2293.62,117
202,143.1,6
76,1060.56,55
44,945.58,214
41,3364.2400000000002,288
341,133.25,6
10,1072.3600000000001,53
144,356.7,19
12,330.88,35
146,1118.81,118
235,150.3,7
152,5045.61,937
25,598.73,128
12,507.08,91
109,2222.56,69
424,203.1,41
202,218.25,11
16,415.25,32
9,5178.96,302
35,85.0,5
123,1120.88,70
35,294.12,14
310,162.3,10
115,1339.45,26
15,1205.1200000000001,72
19,4812.42,173
244,449.12,8
50,154.88,9
17,784.46,88
78,34.8,3
20,1094.59,62
135,196.88,28
13,974.04,93
41,149.31,21
39,44534.3,10
16,2465.48,293
40,2637.38,411
130,79.2,1
52,458.57,28
1,2364.25,141
64,532.96,192
188,714.42,45
25,205.25,9
219,253.04,7
78,583.75,37
78,1086.92,61
1,3279.97,180
183,315.06,11
116,621.8299999999999,27
41,56252.72,130
242,635.6800000000001,10
303,270.8,25
128,104.9,7
134,241.62,18
6,1047.11,21
36,475.28000000000003,29
26,345.46,20
10,2614.7400000000002,43
11,246.3,14
152,2328.9700000000003,83
47,4932.2,267
27,948.05,206
359,351.3,25
11,220.85,35
44,1612.69,75
15,965.61,12
150,610.01,42
18,2711.56,133
96,2207.4,8
76,884.14,98
108,699.08,119
47,1063.95,64
143,451.42,1
52,415.82000000000005,8
12,4206.39,262
24,5528.4800000000005,301
47,784.58,31
51,903.9,48
191,3734.9700000000003,208
69,515.77,35
79,1391.98,89
23,2218.62,133
33,1801.14,41
208,1303.9099999999999,40
17,1945.33,72
35,2100.6,49
50,1905.45,123
320,206.98,17
45,570.96,62
181,885.47,33
666,15.0,1
173,532.94,20
57,1654.31,68
74,1836.0900000000001,115
141,636.14,51
302,576.0,39
0,801.76,68
255,836.79,54
71,2233.75,273
45,954.09,50
51,137.37,10
183,391.98,24
12,33643.08,167
81,1048.49,62
0,355.56,27
73,1224.06,47
99,118.95000000000002,8
47,130.73999999999998,11
18,3711.77,138
289,389.27,22
20,238.85,97
187,160.71,22
52,110.8,30
87,2974.65,140
95,712.24,80
33,16387.57,645
19,297.0,14
16,1438.85,191
41,977.21,142
13,3165.36,546
113,832.88,147
26,68.84,18
23,1936.3200000000002,20
1,895.13,40
102,230.53,45
23,3812.64,461
160,149.64,15
152,354.09000000000003,76
15,360.93,128
128,4405.88,120
18,493.28,129
577,343.28000000000003,105
313,501.39000000000004,29
199,516.36,23
151,396.48,49
123,379.35,18
61,181.09,12
81,168.31,12
186,446.87,93
227,524.52,62
254,263.55,41
150,179.17,11
195,222.05,24
120,1388.88,86
546,56.25,4
24,351.11,51
17,363.88,116
10,5126.76,74
332,164.68,30
20,1567.69,150
177,967.45,249
174,191.94,7
16,1232.18,267
179,264.62,19
17,1528.09,155
189,123.1,12
272,334.23,40
20,639.89,143
125,167.5,60
173,336.03000000000003,25
697,369.5,11
666,127.08,21
195,207.15,12
275,426.63,21
1,2495.87,115
22,1107.46,74
6,416.86,12
183,145.35,7
113,404.58,18
4,6115.01,76
342,35.8,1
134,337.44,14
129,325.1,6
454,181.0,2
83,1708.24,29
44,955.24,60
17,364.72,19
79,1765.51,98
286,708.22,41
182,806.57,91
5,1659.3799999999999,98
25,4416.26,183
121,428.89,42
75,104.35,7
20,470.76,28
18,845.64,122
24,418.83,84
50,666.1,20
99,314.1,11
1,4199.85,35
485,307.82000000000005,4
5,3442.15,176
85,371.01,24
166,430.94,98
18,1054.73,65
78,1098.78,49
1,2398.86,43
6,3408.48,97
23,1475.02,113
72,2837.67,270
124,1142.42,37
90,168.12,14
13,1451.28,140
20,158.03,27
45,792.11,52
181,41.989999999999995,3
17,2797.57,552
55,427.07,35
1,1060.68,130
88,3089.97,506
151,12393.7,9
60,2735.37,103
13,615.39,218
5,101.4,8
4,1701.94,385
24,478.78,33
23,992.71,90
128,407.5,86
2,3362.71,212
156,1415.29,94
2,37130.6,139
64,662.38,145
27,705.39,182
16,1508.76,235
48,211.88,32
4,408.90000000000003,28
47,3786.2400000000002,160
17,851.01,46
261,628.28,76
47,719.81,101
13,251.24,64
60,439.65999999999997,28
44,236.09,32
69,934.62,16
30,81024.84,242
283,331.24,29
123,548.94,100
5,8816.4,1137
39,437.7,22
88,758.92,55
130,855.02,39
178,471.78000000000003,26
149,1313.55,65
90,3166.4,6
23,1197.27,71
5,773.99,39
2,1340.7,83
697,256.44,8
41,1111.79,312
174,137.9,10
55,362.06,34
93,1511.95,84
146,783.9,70
280,134.8,8
46,664.85,68
5,2263.12,121
72,1459.8600000000001,180
6,1153.62,64
261,335.32,23
454,372.09,74
17,1521.87,102
23,852.15,33
45,326.24,21
289,584.3199999999999,23
298,122.39999999999999,1
23,2234.73,129
341,79.2,1
17,1352.0,21
68,217.16,10
57,2806.9,227
101,1317.62,31
300,436.18,38
0,981.51,167
30,1121.39,39
125,315.06,18
115,817.86,51
107,17.0,1
12,1078.23,63
265,320.62,12
241,185.04999999999998,10
88,2005.63,67
51,731.9,39
71,1290.7,76
43,1842.14,57
80,1429.64,48
91,302.36,29
220,336.96,13
214,108.38,6
18,3204.1600000000003,31
85,842.5,48
219,611.88,18
46,1337.48,354
70,195.73999999999998,16
95,161.38,30
171,135.75000000000003,8
4,1667.97,284
5,612.78,34
279,232.21,30
73,423.36,16
30,1309.14,30
58,867.11,212
39,684.4200000000001,38
52,307.78,16
318,249.0,11
516,289.35,13
60,6287.77,117
40,656.25,40
18,1880.22,89
52,3506.54,78
17,14589.04,338
22,618.09,35
263,517.55,21
30,709.38,37
19,635.41,31
214,725.18,35
1,620.4,30
250,535.34,37
35,2424.94,117
159,175.2,1
3,3799.4900000000002,224
204,734.13,29
134,375.0,22
297,76.32000000000001,1
143,280.52,18
1,2053.02,117
269,1829.04,29
50,1824.23,89
25,3122.04,130
16,656.69,18
282,348.2,14
86,1025.44,20
15,5575.56,474
340,37.4,2
233,856.6,6
18,822.48,34
3,3787.6,98
40,1822.97,85
51,1885.05,125
30,73.2,3
6,1140.21,69
16,1418.32,84
33,1009.5500000000001,23
170,1037.59,58
51,331.95,15
139,197.9,8
61,215.83,11
101,10254.18,162
74,305.54,11
73,6617.65,28
275,338.71000000000004,15
5,1158.79,45
17,529.41,31
5,4006.94,218
52,6911.4400000000005,295
36,981.86,67
16,215.48,11
41,215.08,6
12,5180.52,134
237,314.45,19
76,400.68100000000004,15
165,1080.6200000000001,179
22,1863.47,111
361,365.27,18
0,592.9,35
24,405.71,57
90,761.38,98
55,537.0600000000001,63
26,394.38,19
45,664.26,66
1,2262.62,46
10,21086.3,123
1,547.02,23
20,690.34,41
79,159.0,6
171,1062.75,44
81,242.35,14
268,914.9300000000001,37
236,304.25,15
60,3084.68,84
98,864.86,97
319,846.72,137
58,1295.3,96
45,1096.32,134
204,255.12,8
226,314.22,6
35,1010.6,47
279,542.03,35
44,990.88,37
72,536.6800000000001,22
39,867.31,46
79,432.2,20
57,414.2,19
25,3718.8,135
0,2607.87,662
19,3603.21,294
55,409.1,51
5,1522.75,91
24,1413.66,90
171,114.56,16
91,152.94,7
53,1800.07,69
262,389.44,24
244,3683.86,123
17,2619.91,270
267,752.4300000000001,13
177,46.95,2
46,5203.51,135
51,1035.45,18
18,746.83,124
10,5447.0,258
74,861.89,61
72,667.65,45
354,1141.24,54
16,1429.24,133
117,411.7,25
697,357.95,67
197,559.87,33
177,810.6000000000001,6
101,566.38,23
22,1509.58,107
73,2062.06,17
253,168.3,11
32,1570.81,166
51,823.97,109
170,142.5,8
63,302.25,17
22,2248.9900000000002,118
0,1328.55,79
269,301.9,20
